# Structural fingerprint of the transliteration-frozen paths.
# Checked by scripts/verify-freeze.ps1; regenerate with -Update.
# Update this ONLY alongside an intended change to a frozen file, so
# the new counts are reviewed with the change that caused them.
path	files	lines	kr_braces	trailing_ws	sha256
SwissEphNet/CPort	17	48564	1205	1258	C8666981A155C8BF043537CAF0AE72FA1BF9921FFE5CA80246B14C0ABDED7921
Programs/SweTest/Program.cs	1	5074	64	68	C16707D6579690034674B45838252046F1F78BDE4709A6F6F6951291C68C7861
Programs/SweMini/Program.cs	1	170	2	2	F692F6116F50EDBE866C51A1432561BBEF3132E6216CAF5E58630B20CD261190
